Brand,Price,Old Price,Discount,Rating,Review Count,Type of Product,Clean Name,Storage,Battery,Screen Size,Color,More Details
Freeyond,7699,14999.0,48.67,4.0,473.0,Phones,Freeyond F9,N/A,5000mAh,"6.52""",Black,"2GB+64GB, 4G Smartphone,13.0MP , Dual SIM Android Phones"
Infinix,12999,25000.0,48.0,4.3,48.0,Phones,Infinix HOT 50i Display: 6.7 HD RAM: 6GB (Expandable up to 12GB) ROM: 128GB DUAL SIM  SW I12,N/A,N/A,N/A,N/A,
Oppo,5199,10000.0,48.01,3.7,139.0,Phones,Oppo A83 4GB RAM+64GB Refurbished -4G LTE Dual SIM-5.7-inch- Face Unlock -Blue,4GB RAM,N/A,N/A,N/A,
Samsung,19499,29999.0,35.0,4.0,14.0,Phones,Samsung  Galaxy A16,128GB ROM,N/A,"6.7""",N/A,"6GB+   HD, Android 14,50MP-Camera, Battery-5000mah (Dual sim)+Smartwatch+Earbuds"
Oale,7640,9000.0,15.11,0.0,0.0,Phones,"Oale Note 13 Pro+ 4G - 6.6"" 7GB RAM","7GB RAM, 64GB ROM",5075mAh,"6.6""",Black,"64GB ROM, 13MP,  -"
Tecno,12139,19999.0,39.3,4.2,19.0,Phones,Tecno Spark 30c,8GB RAM + 128GB ROM,N/A,N/A,Black,"6.67'' HD+, UP to  (Dual Sim) 50MP, 5000 mAh - Orbit"
XIAOMI,15099,30000.0,49.67,4.2,5.0,Phones,XIAOMI Redmi 14C 6.88'' 8GB RAM + 256GB ROM Android 14 Dual SIM +  WW BN,8GB RAM + 256GB ROM,N/A,N/A,N/A,
Samsung,14495,20899.0,30.64,3.9,33.0,Phones,Samsung Galaxy A05s,"128GB ROM, 4GB RAM",5000mAh,"6.7""",N/A,"DISPLAY,4G, 128GB ROM+ 4GB RAM -(Dual SIM), - SILVER+ FREE GIFTS"
XIAOMI,11599,23999.0,51.67,3.8,30.0,Phones,"XIAOMI Redmi A3x 6.71"" 4GB RAM + 128GB ROM",4GB RAM + 128GB ROM,5000mAh,"6.71""",N/A,Android 14 (Dual Sim)  - Black + Smart watch & Power bank
XIAOMI,25995,39999.0,35.01,4.6,58.0,Phones,XIAOMI Redmi Note 13,8GB RAM,5000mAh,"6.67""",N/A,"256GB + , 108MP, (Dual SIM), Black+ Smartwatch & F9 Earbuds"
XIAOMI,11199,14280.0,21.58,4.2,133.0,Phones,XIAOMI A3 Pro,4GB RAM,N/A,"6.88""",Black,"+ 128GB (Dual Sim), 5160mAH,Midnight  (2YRS WRTY)"
