Name,Brand,Price,Old Price,Discount,Rating,Review Count,Type of Product
Itel 2160// Dual SIM//Black//quality Watch,Itel,"KSh 1,480","KSh 2,000",,,3.9 out of 5(69),Phones
Infinix HOT 50i Display: 6.7 HD RAM: 6GB (Expandable up to 12GB) ROM: 128GB DUAL SIM  SW I12,Infinix,"KSh 12,999","KSh 25,000",,,4.3 out of 5(48),Phones
"Itel Flip 1 Folding Phone - 2.4"" - 1200mAh (Dual SIM), Wireless FM, Blue (1YR WRTY)",Itel,"KSh 2,899","KSh 3,548",,,4 out of 5(28),Phones
"Tecno Spark 30c, 6.67'' HD+, UP to 8GB RAM + 128GB ROM (Dual Sim) 50MP, 5000 mAh - Orbit Black",Tecno,"KSh 12,139","KSh 19,999",,,4.2 out of 5(19),Phones
Oppo A31 6GB RAM+128G ROM Refurbished 6.5 Inch Screen HD Camera 12MP-Black,Oppo,"KSh 9,299","KSh 17,183",,,3.8 out of 5(149),Phones
"Tecno Spark 30c, 6.67'' HD+, UP To 8GB RAM + 128GB ROM,50MP, 5000 MAh -+FREE GIFTS.",Tecno,"KSh 12,690","KSh 19,999",,,3.6 out of 5(8),Phones
"Tecno CAMON  40 6.78'' AMOLED 120Hz, 128GB ROM +8GB RAM,Dual Sim, 50MP, 45W 5200mAh, 4G Galaxy Black_Pre-Order",Tecno,"KSh 23,999","KSh 24,999",,,4.8 out of 5(4),Phones
"Oale Note 13 Pro+ 4G - 6.6"" 7GB RAM, 64GB ROM, 13MP, 5075mAh - Black",Oale,"KSh 7,640","KSh 9,000",,,,Phones
XIAOMI Redmi 14C 6.88'' 4GB 128GB Android 14 Dual SIM + WW SP,XIAOMI,"KSh 12,250","KSh 25,000",,,4.7 out of 5(12),Phones
"XIAOMI Redmi Note 13, 6.67"", 256GB + 8GB RAM, 108MP, (Dual SIM), 5000mAh, Black+ Smartwatch & F9 Earbuds",XIAOMI,"KSh 25,995","KSh 39,999",,,4.6 out of 5(58),Phones
"Samsung Galaxy A05s, 6.7""DISPLAY,4G, 128GB ROM+ 4GB RAM -(Dual SIM), 5000mAh- SILVER+ FREE GIFTS",Samsung,"KSh 14,495","KSh 20,899",,,4 out of 5(32),Phones
"XIAOMI A3 Pro, 6.88"", 4GB RAM + 128GB (Dual Sim), 5160mAH,Midnight Black (2YRS WRTY)",XIAOMI,"KSh 11,199","KSh 14,280",,,4.2 out of 5(133),Phones
