Brand,Price,Old Price,Discount,Rating,Review Count,Type of Product,Clean Name,Storage,Battery,Screen Size,Color,More Details
HP,"KSh 35,000",,,,2.5 out of 5(4),Laptops,HP Refurbished Revolve 810 Corei7/ 8GB RAM/ 256 SSD/ Touchscreen/,8GB RAM,N/A,N/A,N/A,
Apple,"KSh 49,999","KSh 85,000",,,,Laptops,Apple MACBOOK PRO 2016,"16GB RAM, 256GB SSD",N/A,"13""",N/A,INTEL CORE i5 16GB RAM 256GB SSD TOUCHBAR TOUCH ID  (6 Months WRTY)
Lenovo,"KSh 21,000","KSh 25,000",,,,Laptops,"Lenovo ThinkPad L380  Intel Core i3 8th Gen 8GB RAM 256 GB SSD 14"" Refubished",8GB RAM,N/A,"14""",N/A,
Lenovo,"KSh 12,500","KSh 30,000",,,3 out of 5(1),Laptops,"Lenovo Refurbished ThinkPad Yoga 11e Touch Screen Intel Celeron 4GB 128GB SSD 11.6""",128GB SSD,N/A,"11.6""",N/A,
Lenovo,"KSh 19,999","KSh 35,000",,,3 out of 5(2),Laptops,Lenovo 8GB RAM 256GB SSD ThinkPad Yoga 11e Refurbished Laptop X360 Touchscreen Webcam Bluetooth,"8GB RAM, 256GB SSD",N/A,N/A,N/A,"HDMI WIFI With Windows 11 PRO Activated, Office 2021 Pro, Basic Software Installed, Free Bag + Free Wireless Mouse + Charger + Mouse Pad + Free Extension."
HP,"KSh 58,999","KSh 75,999",,,,Laptops,HP Dragonfly  X360 Touchscreen Intel Core I7-8th Gen 16GB RAM 512GB SSDREFURBISHED  (6 Months WRTY),"16GB RAM, 512GB SSD",N/A,N/A,N/A,
HP,"KSh 35,000","KSh 36,000",,,3.5 out of 5(2),Laptops,"HP Elitebook 840 G6 Intel Core I5 8th Gen 16GB RAM 256GB SSD 14 Inches FHD Touchscreen Display Windows 256GB-SSD-Refurbished-14""- Silver-Win (6 Months WRTY)","16GB RAM, 256GB SSD",N/A,"14""",N/A,
HP,"KSh 9,599","KSh 14,999",,,3.9 out of 5(17),Laptops,"HP Chromebook 11 G4 – Intel - 4GB RAM / 16GB SSD EMMC - Bluetooth - HDMI-  11.6"" Screen- Camera- Refurb","4GB RAM, 16GB SSD",N/A,"11.6""",N/A,(6 Months WRTY)
Lenovo,"KSh 23,999","KSh 39,999",,,,Laptops,Lenovo ThinkPad Yoga 370 X360 Convertible Intel Core I5 7th Gen 8GB RAM 256GB SSD 14 Inches FHD Multi-Touch Display refurbished laptop,"8GB RAM, 256GB SSD",N/A,N/A,N/A,
HP,"KSh 13,699","KSh 19,999",,,3.3 out of 5(18),Laptops,"HP Refurbished EliteBook 8470p - Core I5 - HDD 500GB - 4GB RAM DVDRW CAM Silver - 14"" (6 Months WRTY)",4GB RAM,N/A,"14""",N/A,
HP,"KSh 42,999","KSh 55,000",,,4.3 out of 5(3),Laptops,HP EliteBook 840 G6 Touchscreen 8th Gen-Core I7-16GB RAM,16GB RAM,N/A,"14""",N/A,256GB-SSD-Refurbished-- Silver-Win 11 (6 Months WRTY)
HP,"KSh 35,000","KSh 50,000",,,3.7 out of 5(3),Laptops,"HP BRAND NEW SEALED CELERON HP 15 4GB RAM 500GB HDD 15.6'"" FreeDOS (6M WRTY)","4GB RAM, 500GB HDD",N/A,N/A,N/A,
HP,"KSh 22,899","KSh 32,000",,,,Laptops,HP  EliteBook 820 G1 Core I7 8GB RAM 1TB Slim Ultrabook Laptop Refurbished (6 Months WRTY),8GB RAM,N/A,N/A,N/A,
HP,"KSh 10,900","KSh 20,000",,,,Laptops,"HP Refurbished Stream 11 Pro 11.6"" Intel Celeron 4GB RAM 64GB SSD Laptop UltraSlim + Bag","4GB RAM, 64GB SSD",N/A,"11.6""",N/A,
HP,"KSh 18,999","KSh 42,000",,,4 out of 5(9),Laptops,"HP REFURBISHED EliteBook 840 G1 Intel Core I5 14"" 4GB RAM 1TB HDD WINDOWS 10 PRO (1YR WRTY)",4GB RAM,N/A,"14""",N/A,
